Marca_Temporal,Ciudad,Barrio,Tipo_Vivienda,Integrantes_Familia,Tipo_Mascotas,Perros_Macho,Perros_Hembra,Gatos_Macho,Gatos_Hembra,Mascota_Castrada,Donde_Castracion,Sabe_Castracion_Gratuita,Vacunadas,Desparasitadas,Sabe_Vacunas_Anuales,Como_Viven_Mascotas,Frecuencia_Callejeros,Animal_Perdido_Frecuente,Municipio_Presente,Humano_Responsable,Mascota_Gatos,Mascota_Perros,Vive_Salen_solos_a_la_calle,Vive_Tienen_identificador,Vive_Viven_dentro_de_su_hogar,CastEn_En_forma_particular,CastEn_Municipio,CastEn_No_se_encuentra_castrada.,Mun_Castraciones_Masivas,Mun_Control_de_identificación,Mun_Educación,Mun_No_es_necesaria_la_participación_del_municipio
2026-03-12 00:56:52,San Francisco,Independencia,Casa Propia,4.0,Gatos;Perros,1.0,2.0,1.0,,Si,En forma particular,Si,Si,Si,No,Salen solos a la calle;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,1,1,0,1,1,0,0,1,1,1,0
2026-03-12 06:59:10,San Francisco,Cotolengo,Casa Propia,3.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,0,1,0,0,1,0,1,0,1,0,1,0
2026-03-12 07:07:08,San Francisco,Palmares III,Casa Propia,2.0,Perros,2.0,,,,Si,Municipio,Si,Si,Si,No,Tienen identificador;Viven dentro de su hogar,A Veces,Perros,Educación,Si,0,1,0,1,1,0,1,0,0,0,1,0
2026-03-12 07:36:53,San Francisco,El Prado,Casa Propia,4.0,Gatos;Perros,1.0,1.0,1.0,,Si,En forma particular,Si,Si,No,No,Viven dentro de su hogar,A Veces,Perros,Educación,Si,1,1,0,0,1,1,0,0,0,0,1,0
2026-03-12 07:45:46,San Francisco,Dos Hermanos,Casa Propia,4.0,Perros,1.0,,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Nunca,Perros,Castraciones Masivas;Educación,Si,0,1,0,0,1,1,0,0,1,0,1,0
2026-03-12 07:53:16,San Francisco,Roca,Casa Propia,4.0,Gatos;Perros,2.0,2.0,2.0,2.0,Si,En forma particular,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,A Veces,Gatos;Perros,Castraciones Masivas;Educación,Si,1,1,0,1,1,1,0,0,1,0,1,0
2026-03-12 08:04:02,San Francisco,Villa Golf,Casa Propia,2.0,Perros,,2.0,,,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Educación,Si,0,1,0,0,1,1,0,0,0,0,1,0
2026-03-12 09:49:27,San Francisco,Centro,Casa En Alquiler,3.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Control de identificación,Si,0,1,0,0,1,0,1,0,1,1,0,0
2026-03-12 10:04:29,San Francisco,Roca,Casa Propia,4.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,0,1,0,0,1,1,0,0,1,0,1,0
2026-03-12 10:43:34,San Francisco,Catedral,Casa Propia,5.0,Gatos,,,1.0,2.0,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,0,0,0,1,1,0,0,1,1,1,0
2026-03-12 10:46:03,San Francisco,El Prado,Casa Propia,2.0,Gatos;Perros,,2.0,1.0,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Castraciones Masivas,Si,1,1,0,0,1,0,1,0,1,0,0,0
2026-03-12 11:57:35,San Francisco,Dos Hermanos,Casa Propia,4.0,Perros,1.0,,1.0,,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,Nunca,Perros,Educación,Si,0,1,0,0,1,1,0,0,0,0,1,0
2026-03-12 12:04:54,San Francisco,Cotolengo,Departamento En Alquiler,1.0,Gatos;Perros,,1.0,,1.0,Si,En forma particular,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,1,0,1,1,1,0,0,1,1,1,0
2026-03-12 12:08:16,San Francisco,Vélez Sársfield,Casa En Alquiler,4.0,Gatos;Perros,1.0,1.0,,2.0,Si,En forma particular;Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,1,0,0,1,1,1,0,1,1,1,0
2026-03-12 12:20:56,San Francisco,José Hernández,Casa Propia,3.0,Gatos;Perros,,2.0,1.0,,Si,Municipio,Si,Si,Si,Si,Salen solos a la calle;Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Educación,Si,1,1,1,1,1,0,1,0,1,0,1,0
2026-03-12 12:26:40,San Francisco,José Hernández,Casa Propia,1.0,Perros,,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,1,0,1,1,1,0
2026-03-12 12:30:46,Córdoba,Manantiales,Casa Propia,2.0,Gatos;Perros,2.0,,,1.0,Si,En forma particular,Si,Si,Si,No,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Educación,Si,1,1,0,0,1,1,0,0,1,0,1,0
2026-03-12 12:44:19,San Francisco,Iturraspe,Casa Propia,1.0,Perros,1.0,1.0,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,0,1,1,1,1,0
2026-03-12 13:05:23,San Francisco,Roca,Casa Propia,3.0,Perros,1.0,,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,No es necesaria la participación del municipio,Si,0,1,0,0,1,0,0,1,0,0,0,1
2026-03-12 13:05:51,San Francisco,Cotolengo,Departamento Propio,4.0,Perros,,1.0,,,Si,Municipio,No,Si,Si,No,Viven dentro de su hogar,Nunca,Perros,Control de identificación;Educación,No,0,1,0,0,1,0,1,0,0,1,1,0
2026-03-12 13:15:34,San Francisco,Villa Golf,Casa Propia,2.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,1,0,0,1,1,1,0
2026-03-12 13:19:34,San Francisco,Bouchard,Casa Propia,7.0,Perros,,2.0,,,Si,Municipio,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,1,1,0,1,0,1,1,1,0
2026-03-12 13:19:54,San Francisco,Roca,Casa Propia,3.0,Gatos,1.0,,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Educación,Si,1,0,0,0,1,1,0,0,1,0,1,0
2026-03-12 13:20:04,Frontera,Santa Teresita,Casa En Alquiler,2.0,Perros,2.0,2.0,,,Si,En forma particular,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,1,1,1,0,0,1,1,1,0
2026-03-12 13:23:59,San Francisco,Roca,Casa Propia,4.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas,Si,0,1,0,0,1,1,0,0,1,0,0,0
2026-03-12 13:31:09,San Francisco,Chacras Del Norte,Casa Propia,2.0,Gatos,,,1.0,,Si,Municipio,Si,No,Si,No,Salen solos a la calle,A Veces,Perros,Control de identificación,Si,1,0,1,0,0,0,1,0,0,1,0,0
2026-03-12 13:48:57,San Francisco,Catedral,Casa En Alquiler,1.0,Gatos,1.0,,1.0,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas,Si,1,0,0,0,1,0,0,1,1,0,0,0
2026-03-12 14:13:55,San Francisco,Roca,Casa En Alquiler,2.0,Gatos,,,,1.0,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación,Si,1,0,0,0,1,0,1,0,1,1,0,0
2026-03-12 14:29:15,San Francisco,Roca,Casa Propia,4.0,Perros,1.0,1.0,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,1,0,1,1,1,0
2026-03-12 15:05:19,San Francisco,Barrio Parque,Casa Propia,5.0,Gatos;Perros,1.0,,,2.0,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Control de identificación,Si,1,1,0,0,1,0,1,0,0,1,0,0
2026-03-12 15:51:17,San Francisco,José Hernández,Casa Propia,2.0,Gatos,,,1.0,1.0,Si,En forma particular,Si,No,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,1,0,0,0,1,1,0,0,1,1,1,0
2026-03-12 16:25:44,San Francisco,Roca,Casa Propia,3.0,Perros,1.0,,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,A Veces,Perros,Control de identificación,Si,0,1,0,0,1,1,0,0,0,1,0,0
2026-03-12 16:29:09,San Francisco,Roca,Casa En Alquiler,1.0,Perros,,2.0,,,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,A Veces,Perros,Educación,Si,0,1,0,0,1,0,1,0,0,0,1,0
2026-03-12 16:32:19,San Francisco,Cotolengo,Casa En Alquiler,3.0,Perros,1.0,1.0,,,Si,Municipio,Si,Si,Si,No,Viven dentro de su hogar,A Veces,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,1,0,1,1,1,0
2026-03-12 16:41:57,San Francisco,La Milka,Casa Propia,2.0,Perros,,1.0,,,No,No se encuentra castrada.,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,0,0,1,1,1,1,0
2026-03-12 17:06:46,San Francisco,Jardín,Casa En Alquiler,2.0,Gatos,,,,2.0,Si,Municipio,Si,Si,Si,Si,Tienen identificador;Viven dentro de su hogar,Todo El Tiempo,Gatos,Castraciones Masivas;Control de identificación;Educación,Si,1,0,0,1,1,0,1,0,1,1,1,0
2026-03-12 17:37:02,San Francisco,La Milka,Departamento Propio,2.0,Perros,,1.0,,,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Castraciones Masivas;Control de identificación;Educación,Si,0,1,0,0,1,1,0,0,1,1,1,0
2026-03-12 19:08:09,San Francisco,Palmares I,Casa En Alquiler,1.0,Gatos;Perros,,1.0,2.0,1.0,Si,En forma particular,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Gatos;Perros,Educación,Si,1,1,0,0,1,1,0,0,0,0,1,0
2026-03-12 20:32:45,San Francisco,Jardín,Casa Propia,1.0,Perros,1.0,,,,Si,Municipio,Si,Si,Si,Si,Viven dentro de su hogar,Todo El Tiempo,Perros,Control de identificación,Si,0,1,0,0,1,0,1,0,0,1,0,0
